127.0.0.1 - - [17/May/2017:20:18:28 -0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [17/May/2017:20:18:31 -0700] "GET /Final/Homepage HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [17/May/2017:20:18:32 -0700] "GET /Final/Homepage HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [17/May/2017:20:18:32 -0700] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [17/May/2017:20:18:51 -0700] "GET /Final/AddCourse HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [17/May/2017:20:20:02 -0700] "GET /Final/AddCourse HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [17/May/2017:20:21:12 -0700] "GET /Final/CreateMapping HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [17/May/2017:20:37:36 -0700] "GET /Final/AddCourse HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [17/May/2017:20:38:26 -0700] "GET /Final/AddCourse HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [17/May/2017:20:38:34 -0700] "POST /Final/AddCourse HTTP/1.1" 500 3227
0:0:0:0:0:0:0:1 - - [17/May/2017:20:38:56 -0700] "POST /Final/AddCourse HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2017:20:38:56 -0700] "GET /Final/Homepage HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [17/May/2017:20:39:13 -0700] "GET /Final/AddCourse HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [17/May/2017:20:39:23 -0700] "POST /Final/AddCourse HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2017:20:39:23 -0700] "GET /Final/Homepage HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [17/May/2017:20:49:20 -0700] "GET /Final/Homepage HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [17/May/2017:20:49:37 -0700] "GET /Final/AddCourse HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [17/May/2017:20:49:47 -0700] "POST /Final/AddCourse HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2017:20:49:48 -0700] "GET /Final/Homepage HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [17/May/2017:20:49:49 -0700] "GET /Final/AddCourse HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [17/May/2017:20:50:03 -0700] "POST /Final/AddCourse HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2017:20:50:03 -0700] "GET /Final/Homepage HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [17/May/2017:20:50:10 -0700] "GET /Final/CreateMapping HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [17/May/2017:20:56:46 -0700] "GET /Final/CreateMapping HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [17/May/2017:21:00:05 -0700] "GET /Final/CreateMapping HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [17/May/2017:21:00:10 -0700] "POST /Final/CreateMapping HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2017:21:00:10 -0700] "GET /Final/Homepage HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [17/May/2017:21:06:06 -0700] "GET /Final/Homepage HTTP/1.1" 503 1158
0:0:0:0:0:0:0:1 - - [17/May/2017:21:06:12 -0700] "GET /Final/CreateMapping HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [17/May/2017:21:06:21 -0700] "GET /Final/AddCourse HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [17/May/2017:21:08:52 -0700] "GET /Final/Homepage HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [17/May/2017:21:08:55 -0700] "GET /Final/AddCourse HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [17/May/2017:21:09:09 -0700] "POST /Final/AddCourse HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2017:21:09:09 -0700] "GET /Final/Homepage HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [17/May/2017:21:09:13 -0700] "GET /Final/AddCourse HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [17/May/2017:21:09:21 -0700] "POST /Final/AddCourse HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2017:21:09:21 -0700] "GET /Final/Homepage HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [17/May/2017:21:09:26 -0700] "GET /Final/AddCourse HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [17/May/2017:21:09:34 -0700] "POST /Final/AddCourse HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2017:21:09:34 -0700] "GET /Final/Homepage HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [17/May/2017:21:09:37 -0700] "GET /Final/AddCourse HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [17/May/2017:21:09:44 -0700] "POST /Final/AddCourse HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2017:21:09:44 -0700] "GET /Final/Homepage HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [17/May/2017:21:09:50 -0700] "GET /Final/CreateMapping HTTP/1.1" 200 1166
0:0:0:0:0:0:0:1 - - [17/May/2017:21:09:58 -0700] "POST /Final/CreateMapping HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2017:21:09:58 -0700] "GET /Final/Homepage HTTP/1.1" 500 2292
0:0:0:0:0:0:0:1 - - [17/May/2017:21:15:54 -0700] "GET /Final/Homepage HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [17/May/2017:21:16:12 -0700] "GET /Final/Homepage HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [17/May/2017:21:18:55 -0700] "GET /Final/Homepage HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [17/May/2017:21:19:12 -0700] "GET /Final/Homepage HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [17/May/2017:21:19:14 -0700] "GET /Final/AddCourse HTTP/1.1" 200 428
