127.0.0.1 - - [01/May/2017:21:22:45 -0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [01/May/2017:21:22:50 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1203
0:0:0:0:0:0:0:1 - - [01/May/2017:21:26:05 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [01/May/2017:21:30:30 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [01/May/2017:21:34:05 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/May/2017:21:34:05 -0700] "GET /Lab23/Grade.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2017:21:34:52 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [01/May/2017:21:38:23 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [01/May/2017:21:38:39 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [01/May/2017:21:39:19 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [01/May/2017:21:40:21 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [01/May/2017:21:40:31 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [01/May/2017:21:40:32 -0700] "GET /Lab23/Grade.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2017:21:40:33 -0700] "GET /Lab23/Grade.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2017:21:40:33 -0700] "GET /Lab23/Grade.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2017:21:40:33 -0700] "GET /Lab23/Grade.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2017:21:40:34 -0700] "GET /Lab23/Grade.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2017:21:40:40 -0700] "GET /Lab23/Grade.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2017:21:40:53 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [01/May/2017:21:41:08 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [01/May/2017:21:41:18 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/May/2017:21:59:09 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1225
0:0:0:0:0:0:0:1 - - [01/May/2017:21:59:55 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [01/May/2017:22:00:29 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1251
0:0:0:0:0:0:0:1 - - [01/May/2017:22:08:40 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [01/May/2017:22:09:42 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [01/May/2017:22:10:30 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [01/May/2017:22:10:58 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [01/May/2017:22:11:19 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [01/May/2017:22:11:37 -0700] "GET /Lab23/Grade.html HTTP/1.1" 200 1119
